ID,State,Name,Category,Income,Qualification,Description,Type,Award Amount,Duration,Application Deadline,Eligibility Criteria
844,Jharkhand,Innovation Arts Scholarship by IIT Foundation,General,250000,Engineering,Innovation Arts Scholarship by IIT Foundation provides financial assistance to students in General category. The award amount is INR 112921 per year.,Corporate,INR 112921,3 years,22th September 2025,Applicant must have scored at least 76% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 750000. The scholarship is open for students pursuing HSC. Preference will be given to students belonging to the EWS category. Applicants must be residents of Andhra Pradesh.
845,Maharashtra,Global Medical Scholarship by JNU Research,ST,500000,Graduation,Global Medical Scholarship by JNU Research provides financial assistance to students in ST category. The award amount is INR 94331 per year.,Government,INR 94331,1 years,3th July 2025,Applicant must have scored at least 79% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 1000000. The scholarship is open for students pursuing Engineering. Preference will be given to students belonging to the SEBC category. Applicants must be residents of Punjab.
846,Odisha,Innovation Social Sciences Scholarship by Bharti Enterprises,all,1500000,Post-Graduation,Innovation Social Sciences Scholarship by Bharti Enterprises provides financial assistance to students in all category. The award amount is INR 72030 per year.,Private,INR 72030,4 years,16th July 2025,Applicant must have scored at least 70% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 500000. The scholarship is open for students pursuing Post-Graduation. Preference will be given to students belonging to the ST category. Applicants must be residents of Telangana.
847,Rajasthan,Diversity Engineering Scholarship by Ambani Institute,EWS,500000,HSC,Diversity Engineering Scholarship by Ambani Institute provides financial assistance to students in EWS category. The award amount is INR 47841 per year.,Private,INR 47841,3 years,16th July 2025,Applicant must have scored at least 66% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 1000000. The scholarship is open for students pursuing Diploma. Preference will be given to students belonging to the Minority category. Applicants must be residents of Tamil Nadu.
848,Delhi,Research Entrepreneurship Scholarship by Indian Science Society,ST,500000,HSC,Research Entrepreneurship Scholarship by Indian Science Society provides financial assistance to students in ST category. The award amount is INR 58976 per year.,NGO,INR 58976,2 years,17th August 2025,Applicant must have scored at least 76% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 750000. The scholarship is open for students pursuing HSC. Preference will be given to students belonging to the General category. Applicants must be residents of Madhya Pradesh.
849,Maharashtra,Sustainability Social Sciences Scholarship by Tata Foundation,EWS,500000,Diploma,Sustainability Social Sciences Scholarship by Tata Foundation provides financial assistance to students in EWS category. The award amount is INR 96722 per year.,Corporate,INR 96722,4 years,18th August 2025,Applicant must have scored at least 85% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 750000. The scholarship is open for students pursuing HSC. Preference will be given to students belonging to the SEBC category. Applicants must be residents of Punjab.
850,Jharkhand,Community Medical Scholarship by Tata Foundation,EWS,500000,Ph.D.,Community Medical Scholarship by Tata Foundation provides financial assistance to students in EWS category. The award amount is INR 91170 per year.,International,INR 91170,4 years,16th August 2025,Applicant must have scored at least 85% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 250000. The scholarship is open for students pursuing Diploma. Preference will be given to students belonging to the ST category. Applicants must be residents of Telangana.
851,Odisha,Innovation STEM Scholarship by Indian Government,all,1000000,Diploma,Innovation STEM Scholarship by Indian Government provides financial assistance to students in all category. The award amount is INR 5606 per year.,Corporate,INR 5606,3 years,5th August 2025,Applicant must have scored at least 87% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 0. The scholarship is open for students pursuing HSC. Preference will be given to students belonging to the all category. Applicants must be residents of Madhya Pradesh.
852,West Bengal,Development Economics Scholarship by Tata Foundation,OBC,250000,Diploma,Development Economics Scholarship by Tata Foundation provides financial assistance to students in OBC category. The award amount is INR 59034 per year.,Private,INR 59034,1 years,16th July 2025,Applicant must have scored at least 56% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 1500000. The scholarship is open for students pursuing Graduation. Preference will be given to students belonging to the ST category. Applicants must be residents of West Bengal.
853,Andhra Pradesh,Merit Medical Scholarship by Tata Foundation,all,750000,Graduation,Merit Medical Scholarship by Tata Foundation provides financial assistance to students in all category. The award amount is INR 95216 per year.,Corporate,INR 95216,4 years,17th August 2025,Applicant must have scored at least 75% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 750000. The scholarship is open for students pursuing HSC. Preference will be given to students belonging to the OBC category. Applicants must be residents of Madhya Pradesh.
854,Delhi,Community STEM Scholarship by Bharti Enterprises,EWS,0,HSC,Community STEM Scholarship by Bharti Enterprises provides financial assistance to students in EWS category. The award amount is INR 104166 per year.,Government,INR 104166,2 years,18th July 2025,Applicant must have scored at least 72% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 750000. The scholarship is open for students pursuing Diploma. Preference will be given to students belonging to the ST category. Applicants must be residents of Uttar Pradesh.
855,Odisha,Leadership Medical Scholarship by Indian Education Trust,ST,1000000,Graduation,Leadership Medical Scholarship by Indian Education Trust provides financial assistance to students in ST category. The award amount is INR 139671 per year.,Government,INR 139671,2 years,28th September 2025,Applicant must have scored at least 86% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 250000. The scholarship is open for students pursuing Ph.D.. Preference will be given to students belonging to the General category. Applicants must be residents of Uttar Pradesh.
856,Gujarat,Community STEM Scholarship by Indian Government,Minority,750000,Medical,Community STEM Scholarship by Indian Government provides financial assistance to students in Minority category. The award amount is INR 129930 per year.,NGO,INR 129930,4 years,21th June 2025,Applicant must have scored at least 89% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 750000. The scholarship is open for students pursuing Engineering. Preference will be given to students belonging to the ST category. Applicants must be residents of Madhya Pradesh.
857,Karnataka,Community Engineering Scholarship by Indian Science Society,General,0,Graduation,Community Engineering Scholarship by Indian Science Society provides financial assistance to students in General category. The award amount is INR 47358 per year.,Government,INR 47358,1 years,28th September 2025,Applicant must have scored at least 70% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 250000. The scholarship is open for students pursuing Engineering. Preference will be given to students belonging to the ST category. Applicants must be residents of Bihar.
858,Kerala,Youth Arts Scholarship by JNU Research,SC,1000000,Engineering,Youth Arts Scholarship by JNU Research provides financial assistance to students in SC category. The award amount is INR 113120 per year.,NGO,INR 113120,3 years,6th August 2025,Applicant must have scored at least 82% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 1000000. The scholarship is open for students pursuing Graduation. Preference will be given to students belonging to the ST category. Applicants must be residents of West Bengal.
859,Andhra Pradesh,Youth Medical Scholarship by Ambani Institute,all,0,Diploma,Youth Medical Scholarship by Ambani Institute provides financial assistance to students in all category. The award amount is INR 69469 per year.,NGO,INR 69469,2 years,3th June 2025,Applicant must have scored at least 82% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 0. The scholarship is open for students pursuing Post-Graduation. Preference will be given to students belonging to the ST category. Applicants must be residents of Tamil Nadu.
860,Uttar Pradesh,Research STEM Scholarship by Indian Science Society,EWS,750000,Engineering,Research STEM Scholarship by Indian Science Society provides financial assistance to students in EWS category. The award amount is INR 126271 per year.,International,INR 126271,3 years,26th August 2025,Applicant must have scored at least 65% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 250000. The scholarship is open for students pursuing Graduation. Preference will be given to students belonging to the OBC category. Applicants must be residents of Jharkhand.
861,Haryana,Research STEM Scholarship by Tata Foundation,SC,0,Diploma,Research STEM Scholarship by Tata Foundation provides financial assistance to students in SC category. The award amount is INR 43503 per year.,International,INR 43503,3 years,29th July 2025,Applicant must have scored at least 63% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 250000. The scholarship is open for students pursuing HSC. Preference will be given to students belonging to the General category. Applicants must be residents of West Bengal.
862,Bihar,Innovation Medical Scholarship by Dr. APJ Abdul Kalam Foundation,OBC,0,Engineering,Innovation Medical Scholarship by Dr. APJ Abdul Kalam Foundation provides financial assistance to students in OBC category. The award amount is INR 63602 per year.,NGO,INR 63602,4 years,16th June 2025,Applicant must have scored at least 63% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 750000. The scholarship is open for students pursuing Graduation. Preference will be given to students belonging to the all category. Applicants must be residents of Uttar Pradesh.
863,Telangana,Innovation Engineering Scholarship by Indian Government,all,1000000,HSC,Innovation Engineering Scholarship by Indian Government provides financial assistance to students in all category. The award amount is INR 124356 per year.,Corporate,INR 124356,2 years,3th September 2025,Applicant must have scored at least 60% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 250000. The scholarship is open for students pursuing Medical. Preference will be given to students belonging to the ST category. Applicants must be residents of West Bengal.
864,Maharashtra,Global Economics Scholarship by Indian Science Society,Minority,1000000,Post-Graduation,Global Economics Scholarship by Indian Science Society provides financial assistance to students in Minority category. The award amount is INR 105047 per year.,NGO,INR 105047,3 years,15th June 2025,Applicant must have scored at least 74% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 0. The scholarship is open for students pursuing HSC. Preference will be given to students belonging to the EWS category. Applicants must be residents of Maharashtra.
865,Gujarat,Community Economics Scholarship by Ambani Institute,General,1500000,Engineering,Community Economics Scholarship by Ambani Institute provides financial assistance to students in General category. The award amount is INR 92075 per year.,Corporate,INR 92075,3 years,10th June 2025,Applicant must have scored at least 80% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 750000. The scholarship is open for students pursuing Engineering. Preference will be given to students belonging to the all category. Applicants must be residents of Chhattisgarh.
866,Uttarakhand,Innovation Economics Scholarship by Indian Education Trust,SC,750000,Graduation,Innovation Economics Scholarship by Indian Education Trust provides financial assistance to students in SC category. The award amount is INR 76966 per year.,Corporate,INR 76966,1 years,1th June 2025,Applicant must have scored at least 52% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 750000. The scholarship is open for students pursuing Ph.D.. Preference will be given to students belonging to the OBC category. Applicants must be residents of West Bengal.
867,Rajasthan,Global Arts Scholarship by Mahatma Gandhi Trust,all,750000,Medical,Global Arts Scholarship by Mahatma Gandhi Trust provides financial assistance to students in all category. The award amount is INR 73711 per year.,Private,INR 73711,1 years,22th August 2025,Applicant must have scored at least 66% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 500000. The scholarship is open for students pursuing HSC. Preference will be given to students belonging to the Minority category. Applicants must be residents of Jharkhand.
868,Kerala,Innovation Economics Scholarship by Mahatma Gandhi Trust,Minority,0,Post-Graduation,Innovation Economics Scholarship by Mahatma Gandhi Trust provides financial assistance to students in Minority category. The award amount is INR 86708 per year.,Corporate,INR 86708,4 years,21th July 2025,Applicant must have scored at least 61% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 250000. The scholarship is open for students pursuing Medical. Preference will be given to students belonging to the Minority category. Applicants must be residents of Punjab.
869,Maharashtra,Community STEM Scholarship by Bharti Enterprises,Minority,0,Post-Graduation,Community STEM Scholarship by Bharti Enterprises provides financial assistance to students in Minority category. The award amount is INR 68031 per year.,Corporate,INR 68031,2 years,30th July 2025,Applicant must have scored at least 62% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 750000. The scholarship is open for students pursuing Engineering. Preference will be given to students belonging to the SC category. Applicants must be residents of Uttar Pradesh.
870,Tamil Nadu,Excellence Entrepreneurship Scholarship by Bharti Enterprises,General,500000,Engineering,Excellence Entrepreneurship Scholarship by Bharti Enterprises provides financial assistance to students in General category. The award amount is INR 124212 per year.,International,INR 124212,4 years,25th September 2025,Applicant must have scored at least 51% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 0. The scholarship is open for students pursuing Medical. Preference will be given to students belonging to the all category. Applicants must be residents of Andhra Pradesh.
871,Punjab,Development Social Sciences Scholarship by Indian Science Society,ST,500000,Medical,Development Social Sciences Scholarship by Indian Science Society provides financial assistance to students in ST category. The award amount is INR 134364 per year.,Government,INR 134364,1 years,2th September 2025,Applicant must have scored at least 79% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 1000000. The scholarship is open for students pursuing Medical. Preference will be given to students belonging to the all category. Applicants must be residents of Madhya Pradesh.
872,Karnataka,Merit Arts Scholarship by Tata Foundation,OBC,1500000,Diploma,Merit Arts Scholarship by Tata Foundation provides financial assistance to students in OBC category. The award amount is INR 39253 per year.,NGO,INR 39253,4 years,29th July 2025,Applicant must have scored at least 59% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 1000000. The scholarship is open for students pursuing Ph.D.. Preference will be given to students belonging to the General category. Applicants must be residents of Uttar Pradesh.
873,Rajasthan,Community Agriculture Scholarship by Ambani Institute,ST,1500000,Engineering,Community Agriculture Scholarship by Ambani Institute provides financial assistance to students in ST category. The award amount is INR 96770 per year.,International,INR 96770,2 years,12th July 2025,Applicant must have scored at least 87% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 750000. The scholarship is open for students pursuing Graduation. Preference will be given to students belonging to the EWS category. Applicants must be residents of Haryana.
874,Maharashtra,Global Social Sciences Scholarship by IIT Foundation,OBC,500000,Graduation,Global Social Sciences Scholarship by IIT Foundation provides financial assistance to students in OBC category. The award amount is INR 105487 per year.,Private,INR 105487,2 years,6th August 2025,Applicant must have scored at least 87% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 0. The scholarship is open for students pursuing Medical. Preference will be given to students belonging to the all category. Applicants must be residents of Tamil Nadu.
875,Maharashtra,Youth Medical Scholarship by JNU Research,ST,1500000,Engineering,Youth Medical Scholarship by JNU Research provides financial assistance to students in ST category. The award amount is INR 48283 per year.,Corporate,INR 48283,1 years,29th June 2025,Applicant must have scored at least 52% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 250000. The scholarship is open for students pursuing HSC. Preference will be given to students belonging to the OBC category. Applicants must be residents of Maharashtra.
876,Uttarakhand,Development Economics Scholarship by Dr. APJ Abdul Kalam Foundation,EWS,1000000,Medical,Development Economics Scholarship by Dr. APJ Abdul Kalam Foundation provides financial assistance to students in EWS category. The award amount is INR 13714 per year.,Private,INR 13714,1 years,21th July 2025,Applicant must have scored at least 83% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 500000. The scholarship is open for students pursuing Post-Graduation. Preference will be given to students belonging to the Minority category. Applicants must be residents of Delhi.
877,Kerala,Global Law Scholarship by Dr. APJ Abdul Kalam Foundation,OBC,1000000,Graduation,Global Law Scholarship by Dr. APJ Abdul Kalam Foundation provides financial assistance to students in OBC category. The award amount is INR 29812 per year.,NGO,INR 29812,3 years,9th July 2025,Applicant must have scored at least 87% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 250000. The scholarship is open for students pursuing Diploma. Preference will be given to students belonging to the ST category. Applicants must be residents of Odisha.
878,Gujarat,Excellence Law Scholarship by Dr. APJ Abdul Kalam Foundation,all,1000000,HSC,Excellence Law Scholarship by Dr. APJ Abdul Kalam Foundation provides financial assistance to students in all category. The award amount is INR 9119 per year.,International,INR 9119,1 years,13th September 2025,Applicant must have scored at least 90% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 500000. The scholarship is open for students pursuing HSC. Preference will be given to students belonging to the SEBC category. Applicants must be residents of Uttar Pradesh.
879,Karnataka,Global Engineering Scholarship by Mahatma Gandhi Trust,SC,1500000,Medical,Global Engineering Scholarship by Mahatma Gandhi Trust provides financial assistance to students in SC category. The award amount is INR 74686 per year.,International,INR 74686,4 years,3th September 2025,Applicant must have scored at least 66% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 1000000. The scholarship is open for students pursuing Graduation. Preference will be given to students belonging to the SC category. Applicants must be residents of Delhi.
880,Andhra Pradesh,Diversity Arts Scholarship by Mahatma Gandhi Trust,all,1500000,Post-Graduation,Diversity Arts Scholarship by Mahatma Gandhi Trust provides financial assistance to students in all category. The award amount is INR 72650 per year.,Private,INR 72650,3 years,22th June 2025,Applicant must have scored at least 73% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 0. The scholarship is open for students pursuing Ph.D.. Preference will be given to students belonging to the SEBC category. Applicants must be residents of Jharkhand.
881,Madhya Pradesh,Leadership Entrepreneurship Scholarship by Dr. APJ Abdul Kalam Foundation,SC,1000000,Medical,Leadership Entrepreneurship Scholarship by Dr. APJ Abdul Kalam Foundation provides financial assistance to students in SC category. The award amount is INR 88268 per year.,Government,INR 88268,2 years,7th September 2025,Applicant must have scored at least 58% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 750000. The scholarship is open for students pursuing Graduation. Preference will be given to students belonging to the General category. Applicants must be residents of Delhi.
882,Tamil Nadu,Development Entrepreneurship Scholarship by Indian Science Society,OBC,1500000,Engineering,Development Entrepreneurship Scholarship by Indian Science Society provides financial assistance to students in OBC category. The award amount is INR 135685 per year.,Private,INR 135685,2 years,24th July 2025,Applicant must have scored at least 68% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 250000. The scholarship is open for students pursuing Diploma. Preference will be given to students belonging to the Minority category. Applicants must be residents of Uttar Pradesh.
883,Rajasthan,Youth Engineering Scholarship by Dr. APJ Abdul Kalam Foundation,Minority,250000,Medical,Youth Engineering Scholarship by Dr. APJ Abdul Kalam Foundation provides financial assistance to students in Minority category. The award amount is INR 76368 per year.,Private,INR 76368,1 years,19th August 2025,Applicant must have scored at least 78% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 750000. The scholarship is open for students pursuing Graduation. Preference will be given to students belonging to the OBC category. Applicants must be residents of Haryana.
884,Kerala,Development STEM Scholarship by Ambani Institute,SEBC,0,Medical,Development STEM Scholarship by Ambani Institute provides financial assistance to students in SEBC category. The award amount is INR 40745 per year.,Corporate,INR 40745,1 years,6th September 2025,Applicant must have scored at least 82% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 750000. The scholarship is open for students pursuing Diploma. Preference will be given to students belonging to the General category. Applicants must be residents of Uttar Pradesh.
885,Bihar,Community Engineering Scholarship by Tata Foundation,ST,1500000,Diploma,Community Engineering Scholarship by Tata Foundation provides financial assistance to students in ST category. The award amount is INR 72938 per year.,International,INR 72938,1 years,14th June 2025,Applicant must have scored at least 67% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 750000. The scholarship is open for students pursuing HSC. Preference will be given to students belonging to the OBC category. Applicants must be residents of Telangana.
886,Odisha,Youth Engineering Scholarship by Indian Education Trust,all,750000,Graduation,Youth Engineering Scholarship by Indian Education Trust provides financial assistance to students in all category. The award amount is INR 25233 per year.,Corporate,INR 25233,4 years,21th September 2025,Applicant must have scored at least 58% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 500000. The scholarship is open for students pursuing Diploma. Preference will be given to students belonging to the SEBC category. Applicants must be residents of Odisha.
887,Uttar Pradesh,Merit Literature Scholarship by Ambani Institute,EWS,1500000,Post-Graduation,Merit Literature Scholarship by Ambani Institute provides financial assistance to students in EWS category. The award amount is INR 34894 per year.,NGO,INR 34894,4 years,30th September 2025,Applicant must have scored at least 57% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 250000. The scholarship is open for students pursuing Medical. Preference will be given to students belonging to the all category. Applicants must be residents of Madhya Pradesh.
888,Kerala,Sustainability Literature Scholarship by IIT Foundation,General,1000000,Engineering,Sustainability Literature Scholarship by IIT Foundation provides financial assistance to students in General category. The award amount is INR 5607 per year.,Government,INR 5607,4 years,6th July 2025,Applicant must have scored at least 68% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 1500000. The scholarship is open for students pursuing Engineering. Preference will be given to students belonging to the SC category. Applicants must be residents of Tamil Nadu.
889,Andhra Pradesh,Leadership Law Scholarship by IIT Foundation,ST,250000,Post-Graduation,Leadership Law Scholarship by IIT Foundation provides financial assistance to students in ST category. The award amount is INR 111595 per year.,Private,INR 111595,4 years,14th September 2025,Applicant must have scored at least 76% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 1500000. The scholarship is open for students pursuing Ph.D.. Preference will be given to students belonging to the General category. Applicants must be residents of Tamil Nadu.
890,Uttarakhand,Youth Engineering Scholarship by Bharti Enterprises,General,250000,HSC,Youth Engineering Scholarship by Bharti Enterprises provides financial assistance to students in General category. The award amount is INR 46142 per year.,Private,INR 46142,4 years,22th September 2025,Applicant must have scored at least 50% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 0. The scholarship is open for students pursuing Engineering. Preference will be given to students belonging to the EWS category. Applicants must be residents of Uttarakhand.
891,Bihar,Excellence Social Sciences Scholarship by Ambani Institute,SEBC,500000,Diploma,Excellence Social Sciences Scholarship by Ambani Institute provides financial assistance to students in SEBC category. The award amount is INR 147581 per year.,NGO,INR 147581,4 years,15th September 2025,Applicant must have scored at least 82% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 0. The scholarship is open for students pursuing Engineering. Preference will be given to students belonging to the SEBC category. Applicants must be residents of Odisha.
892,Gujarat,Innovation Literature Scholarship by JNU Research,SEBC,250000,Graduation,Innovation Literature Scholarship by JNU Research provides financial assistance to students in SEBC category. The award amount is INR 31143 per year.,NGO,INR 31143,4 years,23th August 2025,Applicant must have scored at least 70% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 500000. The scholarship is open for students pursuing Medical. Preference will be given to students belonging to the all category. Applicants must be residents of Haryana.
893,Punjab,Empowerment Medical Scholarship by IIT Foundation,SC,1500000,Medical,Empowerment Medical Scholarship by IIT Foundation provides financial assistance to students in SC category. The award amount is INR 124881 per year.,NGO,INR 124881,3 years,24th July 2025,Applicant must have scored at least 71% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 1500000. The scholarship is open for students pursuing Ph.D.. Preference will be given to students belonging to the SEBC category. Applicants must be residents of Rajasthan.
894,West Bengal,Innovation Medical Scholarship by Indian Education Trust,Minority,250000,Post-Graduation,Innovation Medical Scholarship by Indian Education Trust provides financial assistance to students in Minority category. The award amount is INR 141312 per year.,International,INR 141312,4 years,1th June 2025,Applicant must have scored at least 74% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 750000. The scholarship is open for students pursuing Diploma. Preference will be given to students belonging to the General category. Applicants must be residents of Tamil Nadu.
895,West Bengal,Research Literature Scholarship by Indian Government,Minority,0,Diploma,Research Literature Scholarship by Indian Government provides financial assistance to students in Minority category. The award amount is INR 13164 per year.,Government,INR 13164,3 years,16th August 2025,Applicant must have scored at least 81% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 1500000. The scholarship is open for students pursuing Medical. Preference will be given to students belonging to the all category. Applicants must be residents of Andhra Pradesh.
896,Jharkhand,Innovation Social Sciences Scholarship by Indian Government,General,1500000,Graduation,Innovation Social Sciences Scholarship by Indian Government provides financial assistance to students in General category. The award amount is INR 52750 per year.,Corporate,INR 52750,4 years,28th June 2025,Applicant must have scored at least 80% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 0. The scholarship is open for students pursuing Ph.D.. Preference will be given to students belonging to the Minority category. Applicants must be residents of Karnataka.
897,Andhra Pradesh,Sustainability Arts Scholarship by Dr. APJ Abdul Kalam Foundation,SC,1500000,Graduation,Sustainability Arts Scholarship by Dr. APJ Abdul Kalam Foundation provides financial assistance to students in SC category. The award amount is INR 9815 per year.,Government,INR 9815,2 years,1th August 2025,Applicant must have scored at least 69% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 500000. The scholarship is open for students pursuing Graduation. Preference will be given to students belonging to the Minority category. Applicants must be residents of West Bengal.
898,Bihar,Diversity Medical Scholarship by JNU Research,all,250000,HSC,Diversity Medical Scholarship by JNU Research provides financial assistance to students in all category. The award amount is INR 123886 per year.,NGO,INR 123886,2 years,3th June 2025,Applicant must have scored at least 67% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 0. The scholarship is open for students pursuing Post-Graduation. Preference will be given to students belonging to the ST category. Applicants must be residents of Karnataka.
899,Delhi,Diversity Entrepreneurship Scholarship by Mahatma Gandhi Trust,EWS,0,HSC,Diversity Entrepreneurship Scholarship by Mahatma Gandhi Trust provides financial assistance to students in EWS category. The award amount is INR 130731 per year.,International,INR 130731,4 years,24th June 2025,Applicant must have scored at least 60% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 750000. The scholarship is open for students pursuing HSC. Preference will be given to students belonging to the ST category. Applicants must be residents of Assam.
900,Rajasthan,Sustainability Medical Scholarship by Ambani Institute,Minority,1500000,Engineering,Sustainability Medical Scholarship by Ambani Institute provides financial assistance to students in Minority category. The award amount is INR 46701 per year.,International,INR 46701,3 years,24th August 2025,Applicant must have scored at least 72% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 500000. The scholarship is open for students pursuing Ph.D.. Preference will be given to students belonging to the ST category. Applicants must be residents of Karnataka.
901,Jharkhand,Global Entrepreneurship Scholarship by Indian Government,ST,500000,HSC,Global Entrepreneurship Scholarship by Indian Government provides financial assistance to students in ST category. The award amount is INR 134563 per year.,Corporate,INR 134563,4 years,26th July 2025,Applicant must have scored at least 55% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 0. The scholarship is open for students pursuing Post-Graduation. Preference will be given to students belonging to the all category. Applicants must be residents of Punjab.
902,Madhya Pradesh,Development Arts Scholarship by Mahatma Gandhi Trust,EWS,1500000,Post-Graduation,Development Arts Scholarship by Mahatma Gandhi Trust provides financial assistance to students in EWS category. The award amount is INR 79582 per year.,International,INR 79582,3 years,9th July 2025,Applicant must have scored at least 69% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 250000. The scholarship is open for students pursuing HSC. Preference will be given to students belonging to the EWS category. Applicants must be residents of Gujarat.
903,Kerala,Sustainability Entrepreneurship Scholarship by Indian Education Trust,EWS,1500000,Medical,Sustainability Entrepreneurship Scholarship by Indian Education Trust provides financial assistance to students in EWS category. The award amount is INR 14447 per year.,International,INR 14447,4 years,30th September 2025,Applicant must have scored at least 59% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 500000. The scholarship is open for students pursuing Medical. Preference will be given to students belonging to the EWS category. Applicants must be residents of Jharkhand.
904,West Bengal,Excellence Literature Scholarship by IIT Foundation,all,1000000,Graduation,Excellence Literature Scholarship by IIT Foundation provides financial assistance to students in all category. The award amount is INR 17972 per year.,Government,INR 17972,1 years,22th August 2025,Applicant must have scored at least 86% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 250000. The scholarship is open for students pursuing Ph.D.. Preference will be given to students belonging to the SC category. Applicants must be residents of Maharashtra.
905,Madhya Pradesh,Development Arts Scholarship by Indian Government,SEBC,1500000,Graduation,Development Arts Scholarship by Indian Government provides financial assistance to students in SEBC category. The award amount is INR 109611 per year.,Government,INR 109611,4 years,27th June 2025,Applicant must have scored at least 73% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 250000. The scholarship is open for students pursuing Engineering. Preference will be given to students belonging to the OBC category. Applicants must be residents of Madhya Pradesh.
906,Jharkhand,Global Social Sciences Scholarship by Indian Government,SC,500000,Engineering,Global Social Sciences Scholarship by Indian Government provides financial assistance to students in SC category. The award amount is INR 114706 per year.,Corporate,INR 114706,4 years,4th September 2025,Applicant must have scored at least 69% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 250000. The scholarship is open for students pursuing HSC. Preference will be given to students belonging to the SEBC category. Applicants must be residents of Madhya Pradesh.
907,Haryana,Excellence Law Scholarship by Ambani Institute,all,1500000,Post-Graduation,Excellence Law Scholarship by Ambani Institute provides financial assistance to students in all category. The award amount is INR 48133 per year.,Private,INR 48133,1 years,22th July 2025,Applicant must have scored at least 61% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 1000000. The scholarship is open for students pursuing Engineering. Preference will be given to students belonging to the OBC category. Applicants must be residents of Gujarat.
