ID,State,Name,Category,Income Eligibility,Qualification,Eligible Courses,Special Criteria,Minimum Qualification,Description,Type,Selection Process,Award Amount,Duration,Application Deadline,Registration Link
309,West Bengal,Pre-Matric Scholarship for OBC Students,OBC,₹1 lakh per annum,Class 9 and 10,Class 9 and 10,OBC category,Not Specified,Supports OBC students in Classes 9 and 10 to reduce dropout rates.,Private,Not Specified,₹150-₹750 per month,1 year,September,https://oasis.gov.in/
310,West Bengal,Post-Matric Scholarship for OBC Students,OBC,₹1 lakh per annum,Class 11 to PG,Class 11 to pg,OBC category,Not Specified,Provides financial assistance to OBC students pursuing post-matric education.,Private,Not Specified,Tuition fees and maintenance allowance,As per course,September,https://oasis.gov.in/
311,West Bengal,Pre-Matric Scholarship for ST Students,ST,₹2 lakh per annum,Class 9 and 10,Class 9 and 10,Not Specified,Not Specified,Assists ST students in Classes 9 and 10 to continue their education.,Private,Not Specified,₹150-₹750 per month,1 year,September,https://oasis.gov.in/
312,West Bengal,Nabanna Chief Minister's Scholarship,General,No Income Limit,Class 10 and 12,Class 10 and 12,All category,50% in last qualifying exam,Provides financial assistance to meritorious students from economically backward sections to pursue higher education.,Private,Not Specified,"₹10,000 to ₹15,000 (one-time)",One-time,Varies,https://www.wb.gov.in/portal/web/wbcm/home
313,West Bengal,Aikyashree Scholarship,Minority Communities,No Income Limit,Class 11 to PhD,Class 11 to phd,Minority category,50% in last qualifying exam,Supports meritorious students from minority communities to pursue higher education.,Private,Not Specified,"₹5,000 to ₹96,000 per annum",As per course,Varies,https://www.wbmdfc.org/scholarship
314,West Bengal,Sikshashree Scheme,Scheduled Caste,No Income Limit,Class 5 to 8,Class 5 to 8,SC/ST category,Not Specified,Provides financial assistance to Scheduled Caste students to encourage school attendance and reduce dropout rates.,Not Specified,Not Specified,₹800 per annum,1 year,Varies,https://anagrasarkalyan.gov.in/
315,West Bengal,West Bengal Free Ship Scheme (WBFS),General,Annual family income ≤ ₹2.5 lakh,"Undergraduate Engineering, Technology, Pharmacy, Architecture","Undergraduate engineering, technology, pharmacy, architecture",All category,Not Specified,Provides tuition fee waiver for meritorious students in self-financing private institutions.,Not Specified,Not Specified,Tuition fee waiver,Duration of course,Varies,https://www.wbhed.gov.in/wbfs/index.php
316,West Bengal,Hindi Scholarship Scheme,General,No Income Limit,Class 11 to PhD,Class 11 to phd,All category,Not Specified,Encourages the study of Hindi among non-Hindi speaking students by providing financial assistance.,Private,Not Specified,"₹300 to ₹1,000 per month",As per course,Varies,https://www.wbsche.wb.gov.in/scholarship
317,West Bengal,Bigyani Kanya Medha Britti Scholarship,All,No Income Limit,"Undergraduate Science, Engineering, Medicine",Higher education in science,Female category,60% in last qualifying exam,Supports female students pursuing higher education in science and technology fields.,Private,Not Specified,"₹2,000 per month; ₹2,000 book grant",5 years,Varies,https://jbnsts.ac.in/
318,West Bengal,Nabanna Chief Minister's Relief Fund Scholarship,General,No Income Limit,Class 10 and 12,Class 10 and 12,All category,50% in last qualifying exam,Provides financial assistance to meritorious students from economically backward sections to pursue higher education.,Private,Not Specified,"₹10,000 to ₹15,000 (one-time)",One-time,Varies,https://www.wb.gov.in/portal/web/wbcm/home
319,West Bengal,Ananta Merit Scholarship,General,No Income Limit,Class 10 and 12,Class 10 and 12,All category,70% in last qualifying exam,Provides financial assistance to meritorious students from economically weaker sections to pursue higher education.,Private,Not Specified,"₹6,000 per annum",1 year,Varies,https://www.anantafoundation.org/
320,West Bengal,Fair & Lovely Scholarship,All,No Income Limit,"Graduation, Post Graduation, Competitive Exams","Graduation, post graduation, competitive exams",Female category,Not Specified,Encourages female students to pursue higher education and competitive exams.,Private,Not Specified,"₹25,000 to ₹50,000",As per course,Varies,https://www.fairandlovely.in/
321,West Bengal,GP Birla Scholarship,General,No Income Limit,Undergraduate Courses,Undergraduate courses,All category,85% in last qualifying exam,Provides financial assistance to meritorious students for pursuing undergraduate studies.,Private,Not Specified,"₹5,000 per month",Duration of course,Varies,https://www.gpbirlascholarship.org/
322,West Bengal,D.P.I. Special Stipend Scheme,General,No Income Limit,Specified Institutions,Specified institutions,All category,Not Specified,Provides stipends to needy and meritorious students in specified institutions.,Not Specified,Not Specified,"₹6,000 per annum",1 year,Varies,https://www.wb.gov.in/portal/web/wbcm/home
323,West Bengal,Swami Vivekananda Merit-cum-Means Scholarship,General,No Income Limit,Class 11 to PhD,Class 11 to phd,All category,60% in last qualifying exam,Provides financial assistance to meritorious and economically disadvantaged students to pursue higher education.,Private,Not Specified,"₹12,000 to ₹96,000 per annum",As per course,Varies,Not Available
324,West Bengal,Lakshmir Bhandar Scheme,Women,No Income Limit,Ages 25-60,Ages 25-60,Female category,Not Specified,Provides financial assistance to economically weaker women to empower and make them self-reliant.,Not Specified,Not Specified,"₹500-₹1,000 per month",Ongoing,No deadline,https://en.wikipedia.org/wiki/Lakshmir_Bhandar_Scheme
325,West Bengal,Oasis Scholarship,SC/ST/OBC,Sc/st: ≤ ₹2.5 lakh; obc: ≤ ₹1 lakh,Class 9 to Postgraduate,Pre-matric and post-matric,SC/ST category,Not Specified,Provides financial assistance to SC/ST/OBC students pursuing pre-matric and post-matric education.,Private,Not Specified,Varies,As per course,Varies,https://oasis.gov.in/
326,West Bengal,JBNSTS Junior Scholarship Program,General,No Income Limit,Class 11,Science stream in class 11,All category,Not Specified,Supports meritorious students pursuing science stream in Class 11.,Private,Not Specified,"₹1,000 per month; other benefits",2 years,Varies,https://jbnsts.ac.in/
327,West Bengal,JBNSTS Senior Scholarship Program,General,No Income Limit,Undergraduate,"Undergraduate courses in science, engineering",All category,Not Specified,"Supports meritorious students pursuing undergraduate courses in science, engineering, or medicine.",Private,Not Specified,"₹4,000 per month; other benefits",As per course,Varies,https://jbnsts.ac.in/
328,West Bengal,Aalo Scholarship Program,General,No Income Limit,Class 9,Class 9,All category,Not Specified,Provides monthly scholarships to economically weaker students to continue their education without financial constraints.,Private,Not Specified,₹600 per month,1 year,August,https://www.wbgov.org/sikshashree
329,West Bengal,Anant Merit Scholarship,General,No Income Limit,Class 10 and 12,Class 10 and 12,All category,70% in last qualifying exam,Provides financial assistance to meritorious students from economically weaker sections to pursue higher education.,Private,Not Specified,"₹6,000 per annum",1 year,Varies,https://www.anantafoundation.org/
330,West Bengal,West Bengal Talent Support Stipend Programme,Minority Communities,≤ ₹2.5 lakh per annum,Class 11 to PhD,Class 11 to phd,Minority category,50% in last qualifying exam,Offers financial assistance to minority students to encourage academic excellence and reduce dropout rates.,Not Specified,Not Specified,Varies,As per course,No deadline,https://wbmdfc.org/
331,West Bengal,West Bengal Merit Cum Means Scholarship,Minority Communities,≤ ₹2.5 lakh per annum,"Undergraduate, Postgraduate",Technical or professional,Minority category,50% in last qualifying exam,Provides financial assistance to minority students pursuing technical or professional courses.,Private,Not Specified,"Up to ₹33,000 per annum",As per course,Varies,https://wbmdfc.org/
332,West Bengal,Paramparik Scholarship,General,No Income Limit,"Undergraduate, Postgraduate","Engineering, medical",All category,Not Specified,"Provides educational scholarships to meritorious but economically disadvantaged students pursuing higher education in engineering, medical, or nursing fields.",Private,Not Specified,Varies,As per course,Varies,https://www.paramparik.org/
333,West Bengal,Asia Heart Foundation Scholarship,General,No Income Limit,Undergraduate,Undergraduate,All category,Not Specified,Provides financial assistance to students pursuing medical education to encourage and support their studies.,NGO,Not Specified,Varies,As per course,Varies,https://www.asiaheartfoundation.org/
334,West Bengal,Colgate Scholarship,General,No Income Limit,Undergraduate,Undergraduate,All category,Not Specified,Supports deserving and meritorious students lacking financial support to pursue higher education.,Private,Not Specified,"Up to ₹75,000 per annum",As per course,Varies,https://www.colgate.com/en-in/smile-karo-aur-shuru-ho-jao/scholarship
335,West Bengal,Ei Samay Atmadeep Young Scholarship,General,No Income Limit,Class 5 to 10,Class 5 to 10,All category,Not Specified,Provides scholarships to students from Class 5 to 10 to support their education and encourage academic excellence.,Private,Not Specified,Varies,1 year,Varies,https://[https://www.eisamay.com/education/atmadeep-scholarship](https://www.eisamay.com
336,West Bengal,Lakshmir Bhandar Scheme,All,No Income Limit,Ages 25-60,Ages 25-60,Female category,Not Specified,Provides financial assistance to economically weaker women to empower and make them self-reliant.,Not Specified,Not Specified,"₹500-₹1,000 per month",Ongoing,No deadline,https://en.wikipedia.org/wiki/Lakshmir_Bhandar_Scheme
337,West Bengal,Oasis Scholarship,SC/ST/OBC,Sc/st: ≤ ₹2.5 lakh; obc: ≤ ₹1 lakh,Class 9 to Postgraduate,Pre-matric and post-matric,SC/ST category,Not Specified,Provides financial assistance to SC/ST/OBC students pursuing pre-matric and post-matric education.,Private,Not Specified,Varies,As per course,Varies,https://oasis.gov.in/
338,West Bengal,JBNSTS Junior Scholarship Program,General,No Income Limit,Class 11,Science stream in class 11,All category,Not Specified,Supports meritorious students pursuing science stream in Class 11.,Private,Not Specified,"₹1,000 per month; other benefits",2 years,Varies,https://jbnsts.ac.in/
339,West Bengal,JBNSTS Senior Scholarship Program,General,No Income Limit,Undergraduate,"Undergraduate courses in science, engineering",All category,Not Specified,"Supports meritorious students pursuing undergraduate courses in science, engineering, or medicine.",Private,Not Specified,"₹4,000 per month; other benefits",As per course,Varies,https://jbnsts.ac.in/
340,West Bengal,Aalo Scholarship Program,General,No Income Limit,Class 9,Class 9,All category,Not Specified,Provides monthly scholarships to economically weaker students to continue their education without financial constraints.,Private,Not Specified,₹600 per month,1 year,August,https://www.wbgov.org/sikshashree
341,West Bengal,Anant Merit Scholarship,General,No Income Limit,Class 10 and 12,Class 10 and 12,All category,70% in last qualifying exam,Provides financial assistance to meritorious students from economically weaker sections to pursue higher education.,Private,Not Specified,"₹6,000 per annum",1 year,Varies,https://www.anantafoundation.org/
342,West Bengal,West Bengal Talent Support Stipend Programme,Minority Communities,≤ ₹2.5 lakh per annum,Class 11 to PhD,Class 11 to phd,Minority category,50% in last qualifying exam,Offers financial assistance to minority students to encourage academic excellence and reduce dropout rates.,Not Specified,Not Specified,Varies,As per course,No deadline,https://wbmdfc.org/
343,West Bengal,West Bengal Merit Cum Means Scholarship,Minority Communities,≤ ₹2.5 lakh per annum,"Undergraduate, Postgraduate",Technical or professional,Minority category,50% in last qualifying exam,Provides financial assistance to minority students pursuing technical or professional courses.,Private,Not Specified,"Up to ₹33,000 per annum",As per course,Varies,https://wbmdfc.org/
344,West Bengal,Paramparik Scholarship,General,No Income Limit,"Undergraduate, Postgraduate","Engineering, medical",All category,Not Specified,"Provides educational scholarships to meritorious but economically disadvantaged students pursuing higher education in engineering, medical, or nursing fields.",Private,Not Specified,Varies,As per course,Varies,https://www.paramparik.org/
345,West Bengal,Asia Heart Foundation Scholarship,General,No Income Limit,Undergraduate,Undergraduate,All category,Not Specified,Provides financial assistance to students pursuing medical education to encourage and support their studies.,NGO,Not Specified,Varies,As per course,Varies,https://www.asiaheartfoundation.org/
346,West Bengal,Colgate Scholarship,General,No Income Limit,Undergraduate,Undergraduate,All category,Not Specified,Supports deserving and meritorious students lacking financial support to pursue higher education.,Private,Not Specified,"Up to ₹75,000 per annum",As per course,Varies,https://www.colgate.com/en-in/smile-karo-aur-shuru-ho-jao/scholarship
347,West Bengal,Ei Samay Atmadeep Young Scholarship,General,No Income Limit,Class 5 to 10,Class 5 to 10,All category,Not Specified,Provides scholarships to students from Class 5 to 10 to support their education and encourage academic excellence.,Private,Not Specified,Varies,1 year,Varies,https://[https://www.eisamay.com/education/atmadeep-scholarship](https://www.eisamay.com
348,West Bengal,KC Mahindra Scholarship,General,No Income Limit,Postgraduate,Postgraduate,All category,Not Specified,Offers interest-free loan scholarships to meritorious students pursuing postgraduate studies abroad.,International,Not Specified,Up to ₹8 Lakh,One-time,March,https://www.kcmet.org/what-we-do-Scholarship-Grants.aspx
349,West Bengal,FAEA Scholarship,SC/ST/BPL,No Income Limit,Undergraduate,"First-year undergraduate courses in arts, commerce, science, engineering, or other technical and professional",SC/ST category,Not Specified,Provides financial support to students from economically disadvantaged backgrounds for undergraduate studies.,Private,Not Specified,Full tuition + expenses,Duration of course,June,https://www.faeaindia.org/
350,West Bengal,Kind Circle Scholarship,General,≤ ₹4 lakh per annum,Class 9 to Postgraduate,In class 9,All category,Not Specified,Supports meritorious students from economically weaker sections to pursue their education.,Private,Not Specified,"Up to ₹15,000",One-time,December,https://www.kindcircle.org/scholarship/
351,West Bengal,HDFC Bank Parivartan's ECSS Program,General,≤ ₹2.5 lakh per annum,Class 6 to Postgraduate,In class 6,All category,Not Specified,Provides financial assistance to meritorious and needy students to continue their education.,Private,Not Specified,"Up to ₹75,000 per annum",Duration of course,October,https://www.hdfcbank.com/personal/resources/learning-centre/education-support
352,West Bengal,Sahu Jain Trust Loan Scholarship,General,No Income Limit,Postgraduate,Postgraduate,All category,Not Specified,Offers interest-free loan scholarships to students pursuing postgraduate studies in India.,International,Not Specified,"₹25,000 to ₹1 Lakh",One-time,July,https://www.sahujaintrust.timesofindia.com/
353,West Bengal,Fair & Lovely Foundation Scholarship,All,≤ ₹6 lakh per annum,Undergraduate,Undergraduate,Female category,Not Specified,Supports female students from economically weaker sections to pursue higher education.,NGO,Not Specified,"Up to ₹25,000",One-time,September,https://www.glowandlovelycareers.in/en/scholarship
354,West Bengal,Loreal India For Young Women in Science Scholarship,All,≤ ₹4 lakh per annum,Undergraduate,Graduation in science,Female category,85% in last qualifying exam,Encourages young women to pursue careers in science by providing financial assistance for higher education.,International,Not Specified,Up to ₹2.5 Lakh,Duration of course,July,https://www.foryoungwomeninscience.com/
355,West Bengal,Vidyasaarathi Scholarship,General,Varies,Undergraduate/Postgraduate,Undergraduate/postgraduate,All category,Not Specified,Provides financial assistance to students through various corporate-sponsored scholarships.,Private,Not Specified,Varies,Duration of course,Varies,https://www.vidyasaarathi.co.in/
356,West Bengal,IndusInd Foundation Scholarship,General,No Income Limit,Undergraduate,Undergraduate,All category,85% in last qualifying exam,Provides financial assistance to meritorious students from economically weaker sections for undergraduate studies.,NGO,Not Specified,"₹1,000 per month",Duration of course,August,https://www.indusindfoundation.com/
357,West Bengal,Gaurav Foundation Scholarship,General,No Income Limit,Undergraduate/Postgraduate,Undergraduate/postgraduate,All category,Not Specified,Provides financial assistance to meritorious students for higher education in India or abroad.,International,Not Specified,Up to ₹10 Lakh,One-time,May,https://www.gauravfoundation.org/
358,West Bengal,Google Scholarship for Women in Tech,All,No Income Limit,Undergraduate,Undergraduate courses in computer science,Female category,Not Specified,Supports female students pursuing computer science and related fields by providing financial assistance and mentorship.,Private,Not Specified,Up to ₹1 Lakh,One-time,June,https://buildyourfuture.withgoogle.com/scholarships
359,West Bengal,Maya Chitram Art Institute Scholarship,General,No Income Limit,Undergraduate/Postgraduate,Undergraduate/postgraduate,All category,Not Specified,Provides financial assistance to students pursuing fine arts to promote art and culture.,Private,Not Specified,Varies,Duration of course,Varies,http://www.mayachitram.org
360,West Bengal,Keep India Smiling Foundational Scholarship,General,≤ ₹5 lakh per annum,Class 11 to Undergraduate,Class 11 to undergraduate,All category,60% in last qualifying exam,Provides financial assistance and mentorship to meritorious students from economically weaker sections to pursue higher education.,International,Not Specified,"Up to ₹20,000 per annum",Duration of course,Varies,https://www.colgatecares.co.in/scholarship
361,West Bengal,Nikon Scholarship Program,General,≤ ₹6 lakh per annum,Undergraduate,Undergraduate,All category,Not Specified,Supports students pursuing photography-related courses by providing financial assistance.,Private,Not Specified,Up to ₹1 Lakh,One-time,Varies,https://www.nikon.co.in/en_IN/scholarship
362,West Bengal,Samsung Star Scholar Program,General,No Income Limit,Undergraduate,Undergraduate,All category,Not Specified,Provides scholarships to students from Jawahar Navodaya Vidyalayas (JNVs) pursuing technical courses in IITs and NITs.,Private,Not Specified,Up to ₹2 Lakh per annum,Duration of course,Varies,https://www.samsung.com/in/microsite/starscholar/
363,West Bengal,Indian Oil Educational Scholarship,General,≤ ₹1 lakh per annum,Class 10 to Undergraduate,Class 10 to undergraduate,All category,65% in last qualifying exam,Provides financial assistance to meritorious students from economically weaker sections to pursue higher education.,International,Not Specified,"₹12,000 to ₹48,000 per annum",Duration of course,Varies,https://www.iocl.com/Scholarships
364,West Bengal,Technip Energies India Scholarship Program,General,≤ ₹2 lakh per annum,Undergraduate,Undergraduate,Female category,Not Specified,Provides financial assistance to female students pursuing engineering courses.,International,Not Specified,"₹30,000 per annum",Duration of course,Varies,https://www.technipenergies.com/en/sustainability/corporate-social-responsibility/technip-energies-india-scholarship-program
365,West Bengal,Baba Guru Bachan Singh Scholarship Scheme,General,No Income Limit,Undergraduate,Undergraduate,All category,Not Specified,Provides financial assistance to students from economically weaker sections to pursue higher education.,Private,Not Specified,Varies,Duration of course,Varies,https://www.babajob.com/scholarship
366,West Bengal,Vidyadhan Scholarship Program,General,≤ ₹2 lakh per annum,Class 11 to Undergraduate,Class 11 to undergraduate,SC/ST category,90% in or 75% for SC/ST,Provides financial assistance to meritorious students from economically weaker sections to pursue higher education.,Private,Not Specified,"₹6,000 to ₹60,000 per annum",Duration of course,Varies,https://www.vidyadhan.org/
367,West Bengal,Asia Heart Foundation Scholarship,General,No Income Limit,Undergraduate,Undergraduate,All category,Not Specified,Provides financial assistance to students pursuing medical and healthcare-related courses.,NGO,Not Specified,Varies,Duration of course,Varies,https://www.asiaheartfoundation.org/
368,West Bengal,Ei Samay Atmadeep Young Scholarship,General,No Income Limit,Class 5 to 10,In class 5,All category,Not Specified,Provides financial assistance to meritorious students from economically weaker sections to pursue their school education.,Private,Not Specified,Varies,Duration of course,Varies,https://www.eisamay.com/education/atmadeep-scholarship
369,West Bengal,Dhaan Merit Scholarship,General,No Income Limit,Undergraduate,Undergraduate,All category,Not Specified,Provides financial assistance to meritorious students from economically weaker sections to pursue higher education.,Private,Not Specified,"₹10,000 per annum",Duration of course,Varies,https://www.dhaan.org/scholarship
370,West Bengal,Charles Wallace India Trust Short Research Grants,General,No Income Limit,Postgraduate,Postgraduate,All category,Not Specified,Provides financial assistance to students pursuing short-term research in the UK in the fields of arts and heritage conservation.,International,Not Specified,Up to ₹1 Lakh,One-time,Varies,https://www.britishcouncil.in/study-uk/scholarships/charles-wallace-india-trust
371,West Bengal,Keep India Smiling Foundational Scholarship,SC/ST/OBC,≤ ₹5 lakh per annum,Class 11 to Undergraduate,Class 11 to undergraduate,SC/ST category,60% in last qualifying exam,Provides financial assistance and mentorship to meritorious students from economically weaker sections to pursue higher education.,International,Not Specified,"Up to ₹20,000 per annum",Duration of course,Varies,https://www.colgatecares.co.in/scholarship
372,West Bengal,Nikon Scholarship Program,SC/ST/OBC,≤ ₹6 lakh per annum,Undergraduate,Undergraduate,SC/ST category,Not Specified,Supports students pursuing photography-related courses by providing financial assistance.,Private,Not Specified,Up to ₹1 Lakh,One-time,Varies,https://www.nikon.co.in/en_IN/scholarship
373,West Bengal,Samsung Star Scholar Program,SC/ST/OBC,No Income Limit,Undergraduate,Undergraduate,SC/ST category,Not Specified,Provides scholarships to students from Jawahar Navodaya Vidyalayas (JNVs) pursuing technical courses in IITs and NITs.,Private,Not Specified,Up to ₹2 Lakh per annum,Duration of course,Varies,https://www.samsung.com/in/microsite/starscholar/
374,West Bengal,Indian Oil Educational Scholarship,SC/ST/OBC,≤ ₹1 lakh per annum,Class 10 to Undergraduate,Class 10 to undergraduate,SC/ST category,65% in last qualifying exam,Provides financial assistance to meritorious students from economically weaker sections to pursue higher education.,International,Not Specified,"₹12,000 to ₹48,000 per annum",Duration of course,Varies,https://www.iocl.com/Scholarships
375,West Bengal,Technip Energies India Scholarship Program,SC/ST/OBC,≤ ₹2 lakh per annum,Undergraduate,Undergraduate,Female category,Not Specified,Provides financial assistance to female students pursuing engineering courses.,International,Not Specified,"₹30,000 per annum",Duration of course,Varies,https://www.technipenergies.com/en/sustainability/corporate-social-responsibility/technip-energies-india-scholarship-program
376,West Bengal,Baba Guru Bachan Singh Scholarship Scheme,SC/ST/OBC,No Income Limit,Undergraduate,Undergraduate,SC/ST category,Not Specified,Provides financial assistance to students from economically weaker sections to pursue higher education.,Private,Not Specified,Varies,Duration of course,Varies,https://www.babajob.com/scholarship
377,West Bengal,Vidyadhan Scholarship Program,SC/ST/OBC,≤ ₹2 lakh per annum,Class 11 to Undergraduate,Class 11 to undergraduate,SC/ST category,90% in or 75% for SC/ST,Provides financial assistance to meritorious students from economically weaker sections to pursue higher education.,Private,Not Specified,"₹6,000 to ₹60,000 per annum",Duration of course,Varies,https://www.vidyadhan.org/
378,West Bengal,Asia Heart Foundation Scholarship,SC/ST/OBC,No Income Limit,Undergraduate,Undergraduate,SC/ST category,Not Specified,Provides financial assistance to students pursuing medical and healthcare-related courses.,NGO,Not Specified,Varies,Duration of course,Varies,https://www.asiaheartfoundation.org/
379,West Bengal,Ei Samay Atmadeep Young Scholarship,SC/ST/OBC,No Income Limit,Class 5 to 10,In class 5,SC/ST category,Not Specified,Provides financial assistance to meritorious students from economically weaker sections to pursue their school education.,Private,Not Specified,Varies,Duration of course,Varies,https://www.eisamay.com/education/atmadeep-scholarship
380,West Bengal,Dhaan Merit Scholarship,SC/ST/OBC,No Income Limit,Undergraduate,Undergraduate,SC/ST category,Not Specified,Provides financial assistance to meritorious students from economically weaker sections to pursue higher education.,Private,Not Specified,"₹10,000 per annum",Duration of course,Varies,https://www.dhaan.org/scholarship
381,West Bengal,Charles Wallace India Trust Short Research Grants,SC/ST/OBC,No Income Limit,Postgraduate,Postgraduate,SC/ST category,Not Specified,Provides financial assistance to students pursuing short-term research in the UK in the fields of arts and heritage conservation.,International,Not Specified,Up to ₹1 Lakh,One-time,Varies,https://www.britishcouncil.in/study-uk/scholarships/charles-wallace-india-trust
382,West Bengal,Sree Vidyanikethan Educational Trust Scholarships,SC/ST/OBC,No Income Limit,School to Undergraduate,School to undergraduate,SC/ST category,Not Specified,Provides free education to 25% of deserving students from SC/ST/OBC communities.,International,Not Specified,Full tuition coverage,Duration of course,Varies,https://en.wikipedia.org/wiki/Sree_Vidyanikethan_Educational_Trust
383,West Bengal,Gopali Youth Welfare Society Educational Support,SC/ST/OBC,No Income Limit,School Level,School level,SC/ST category,Not Specified,Offers free education initiatives and vocational training programs for underprivileged students.,NGO,Not Specified,Varies,Duration of program,Varies,https://en.wikipedia.org/wiki/Gopali_Youth_Welfare_Society
384,West Bengal,Al-Ameen Mission Scholarships,SC/ST/OBC,No Income Limit,School to Undergraduate,School to undergraduate,SC/ST category,Not Specified,"Provides scholarships and residential education to underprivileged students, with a focus on Muslim communities.",NGO,Not Specified,Varies,Duration of course,Varies,https://en.wikipedia.org/wiki/Al-Ameen_Mission
385,West Bengal,Maya Chitram Art Institute Scholarships,SC/ST/OBC,No Income Limit,Art Students,Art students,SC/ST category,Not Specified,Offers scholarships and assistance to deserving and needy students pursuing higher education in fine arts.,Private,Not Specified,Varies,Duration of course,Varies,https://en.wikipedia.org/wiki/Maya_Chitram_Art_Institute
386,West Bengal,Ambedkar Students' Association Support,SC/ST/OBC,No Income Limit,Higher Education,Higher education,SC/ST category,Not Specified,"Represents students from SC/ST/OBC communities, providing support and advocacy in educational institutions.",Not Specified,Not Specified,Varies,Duration of program,Varies,https://en.wikipedia.org/wiki/Ambedkar_Students%27_Association
387,West Bengal,Sahu Jain Trust Scholarship,General,No Income Limit,Undergraduate,Undergraduate,All category,Not Specified,"Supports meritorious and financially needy students, facilitating their educational pursuits.",International,Not Specified,Varies,Duration of course,Varies,https://collegesamaj.in/scholarship-for-college-students-in-west-bengal/
388,West Bengal,Swami Dayananda Merit cum Means Scholarship,General,No Income Limit,Professional Courses,Professional courses,All category,Not Specified,"Promotes education through financial support, particularly aiding meritorious students from economically challenged backgrounds.",Private,Not Specified,Varies,Duration of course,Varies,https://collegesamaj.in/scholarship-for-college-students-in-west-bengal/
389,West Bengal,Kind Circle Scholarship,General,No Income Limit,School to Higher Education,School to higher education,All category,Not Specified,"Provides financial aid to students facing economic challenges, fostering educational opportunities.",Private,Not Specified,Varies,Duration of course,Varies,https://collegesamaj.in/scholarship-for-college-students-in-west-bengal/
390,West Bengal,Kind Scholarship for Young Women,General,No Income Limit,Class 9 to Postgraduate,Class 9 to postgraduate,Female category,Not Specified,"Empowers young women through financial support, encouraging them to pursue higher education.",Private,Not Specified,Varies,Duration of course,Varies,https://collegesamaj.in/scholarship-for-college-students-in-west-bengal/
391,West Bengal,Fair & Lovely Scholarship,General,No Income Limit,Higher Education,Higher education,Female category,Not Specified,"Empowers women through scholarships, promoting education and career development.",Private,Not Specified,Varies,Duration of course,Varies,https://collegesamaj.in/scholarship-for-college-students-in-west-bengal/
392,West Bengal,HDFC Bank ECSS Scholarship,General,No Income Limit,School to Diploma/ITI,School to diploma/iti,All category,Not Specified,"Assists economically backward students, promoting their access to quality education through financial aid.",Private,Not Specified,Varies,Duration of course,Varies,https://collegesamaj.in/scholarship-for-college-students-in-west-bengal/
393,Odisha,Prerana Post-Matric Scholarship,BC/SEBC,Below ₹2.5 lakhs,Post-Matric,Recognized post-matric,Not Specified,Not Specified,Financial aid for BC/SEBC students pursuing post-matric courses.,Private,Not Specified,Varies,Annual,As per portal,https://Prerana Portal
394,Odisha,Medhabruti Scholarship,All (incl. BC),Below ₹6 lakhs,"UG, PG, Technical/Professional","Ug, pg, technical/professional",Not Specified,60% in last qualifying exam,Merit-based scholarship for higher education.,Private,Not Specified,"₹3,000-₹10,000/year",Annual,As per portal,https://Medhabruti Portal
395,Odisha,Odisha Pre-Matric Scholarship,BC,Na,Class 9-10,Class 9-10,Not Specified,Not Specified,Support to reduce school dropouts among BC students.,Private,Not Specified,Varies,Annual,As per portal,https://Pre-Matric Portal
396,Odisha,BC Jindal Vidya Scholarship,All,Below ₹5 lakhs,Class 9-12,Class 9-12,All category,Not Specified,Scholarship for meritorious school students from low-income families.,Private,Not Specified,"₹12,000-₹13,800/year",Annual,Open round,https://Vidyasaarathi Portal
397,Odisha,HDFC Parivartan ECSS,All incl. BC,Below ₹2.5 lakhs,School to UG,In school or ug,Not Specified,Not Specified,Support during financial crisis for economically weak students.,Not Specified,Not Specified,"Up to ₹75,000/year",Annual,Varies,https://www.hdfcbankecss.com/
398,Odisha,Tata Capital Pankh Scholarship,All incl. BC,Below ₹4 lakhs,Class 6 to UG,Class 6 to ug,Not Specified,60% in last qualifying exam,Merit-cum-means for underprivileged students.,Private,Not Specified,"₹12,000-₹50,000/year",Annual,Open round,https://www.buddy4study.com/page/the-tata-capital-pankh-scholarship-programme
399,Odisha,Legrand Empowering Scholarship,all,Below ₹5 lakhs,Engineering/Architecture,Girls in technical,Female category,Not Specified,Financial aid for girls in technical courses.,Private,Not Specified,Up to ₹1 Lakh/year,Full Course,Open,https://legrandscholarship.co.in/
400,Odisha,Infosys STEM Stars Scholarship,all,Below ₹8 lakhs,STEM UG,Stem ug,Female category,Not Specified,Promoting STEM among underprivileged girls.,Private,Not Specified,₹1 Lakh/year,4 Years,Open,https://www.buddy4study.com/page/infosys-stem-stars-scholarship
401,Odisha,Ratti Chhatr Scholarship (Panasonic),All,Below ₹5 lakhs,Engineering,1st year engineering,All category,Not Specified,Scholarship for 1st year engineering students.,Private,Not Specified,"₹42,500/year",Annual,Open round,https://www.panasonic.com/in/corporate/scholarship.html
402,Odisha,Mohan T Advani Centennial Scholarship,All,Below ₹8 lakhs,Engineering,Meritorious engineering,Not Specified,Not Specified,Support for meritorious engineering students.,Private,Not Specified,Up to ₹1 Lakh/year,Annual,Open round,https://www.blue-starindia.com/csr/education
403,Odisha,Aspire Scholarship Program,All,Below ₹3 lakhs,Class 9-12,Class 9-12,Not Specified,Not Specified,Support for secondary/higher secondary students.,Private,Not Specified,"₹10,000-₹40,000/year",Annual,Open round,https://www.aspireindia.org/scholarship
